Tanggal,Kode_wilayah,Wilayah,Stasiun,Temperatur_rata-rata,Kelembapan_rata-rata,Curah_hujan, Lamanya_penyinaran_matahari ,Kecepatan_angin_rata-rata,Kategori_Curah_Hujan,Klasifikasi
1/23/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.6,70,0,6,2,Tidak Hujan,Normal
1/24/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.1,71,0,3.2,2,Tidak Hujan,Normal
1/25/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.2,78,0,5.5,1,Tidak Hujan,Normal
1/26/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.8,79,0,0,1,Tidak Hujan,Normal
1/27/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.6,80,27.5,2.4,1,Hujan Sedang,La Niña
1/28/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25.6,94,26.9,0,0,Hujan Sedang,La Niña
1/29/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.7,86,27,0,1,Hujan Sedang,La Niña
1/30/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28,76,0,0,1,Tidak Hujan,Normal
1/31/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.8,80,0,3,1,Tidak Hujan,Normal
2/1/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27,85,0.5,0,1,Hujan Sedang,Normal
2/2/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.2,88,31.8,0.2,2,Hujan Sedang,La Niña
2/3/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.7,80,25.2,0.2,1,Hujan Sedang,La Niña
2/4/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.7,83,0,0.1,2,Tidak Hujan,Normal
2/5/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.4,77,0,1.2,2,Tidak Hujan,Normal
2/6/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.2,67,1.2,5.5,2,Hujan Sedang,Normal
2/7/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.8,78,0,3,1,Tidak Hujan,Normal
2/8/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.1,87,62.8,2,1,Hujan Ekstrem,La Niña
2/9/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.4,73,1,2.2,1,Hujan Sedang,Normal
2/10/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.9,77,9.6,1.5,2,Hujan Sedang,Normal
2/11/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.5,85,25.8,6.3,1,Hujan Sedang,La Niña
2/12/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25,92,40.8,1.5,2,Hujan Sedang,La Niña
2/13/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.6,78,1.8,0,1,Hujan Sedang,Normal
2/14/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.3,79,5.4,0.9,2,Hujan Sedang,Normal
2/15/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.1,74,0,0.9,1,Tidak Hujan,Normal
2/16/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.1,82,9.5,1.8,1,Hujan Sedang,Normal
2/17/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27,81,31,1.8,1,Hujan Sedang,La Niña
2/18/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.6,83,2.5,0.2,2,Hujan Sedang,Normal
2/19/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.5,82,3.8,5.2,1,Hujan Sedang,Normal
2/20/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.5,83,0.5,4.3,1,Hujan Sedang,Normal
2/21/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28,77,10,6.5,1,Hujan Sedang,Normal
2/22/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.3,84,29.7,3,1,Hujan Sedang,La Niña
2/23/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.9,87,21.5,3.2,1,Hujan Sedang,La Niña
2/24/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25.8,94,76.9,3.6,1,Hujan Ekstrem,La Niña
2/25/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27,86,74.1,0,2,Hujan Ekstrem,La Niña
2/26/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.7,88,36.7,0.4,1,Hujan Sedang,La Niña
2/27/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.1,84,38.9,0.5,1,Hujan Sedang,La Niña
2/28/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27,84,20.3,1.5,1,Hujan Sedang,La Niña
3/1/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.7,88,12.7,1,1,Hujan Sedang,Normal
3/2/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25.1,92,79.5,0.5,0,Hujan Ekstrem,La Niña
3/3/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27,84,3.8,0,1,Hujan Sedang,Normal
3/4/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.8,81,42.5,2.2,1,Hujan Sedang,La Niña
3/5/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.6,87,2.2,2,0,Hujan Sedang,Normal
3/6/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.3,71,2.3,2.4,2,Hujan Sedang,Normal
3/7/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.7,76,0,5.2,1,Tidak Hujan,Normal
3/8/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.5,88,4,8,1,Hujan Sedang,Normal
3/9/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.1,83,9.5,0.5,1,Hujan Sedang,Normal
3/10/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.8,81,10,6.1,1,Hujan Sedang,Normal
3/11/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.5,77,0,8.4,1,Tidak Hujan,Normal
3/12/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.4,80,0,8,1,Tidak Hujan,Normal
3/13/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.4,72,0,2.6,2,Tidak Hujan,Normal
3/14/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.2,82,0,7.6,1,Tidak Hujan,Normal
3/15/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25.5,90,11,0,1,Hujan Sedang,Normal
3/16/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.4,82,2.4,0,1,Hujan Sedang,Normal
3/17/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.6,75,0,8,2,Tidak Hujan,Normal
3/18/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.3,78,0,9.1,1,Tidak Hujan,Normal
3/19/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.7,81,0,8,2,Tidak Hujan,Normal
3/20/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.7,75,0,6,1,Tidak Hujan,Normal
3/21/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.2,69,0,7.6,0,Tidak Hujan,Normal
3/22/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.1,76,0,7,0,Tidak Hujan,Normal
3/23/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.3,76,0,6.7,1,Tidak Hujan,Normal
3/24/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.3,78,0,7,1,Tidak Hujan,Normal
3/25/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.9,83,0,5,1,Tidak Hujan,Normal
3/26/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.8,88,48.7,3,1,Hujan Sedang,La Niña
3/27/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.4,84,0,6.5,1,Tidak Hujan,Normal
3/28/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.3,86,4.2,3,0,Hujan Sedang,Normal
3/29/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.5,79,0,0,1,Tidak Hujan,Normal
3/30/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.3,92,0,6.1,0,Tidak Hujan,Normal
3/31/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.8,70,3.2,4,2,Hujan Sedang,Normal
4/1/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.1,74,0,3,2,Tidak Hujan,Normal
4/2/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.8,76,1.2,0.3,1,Hujan Sedang,Normal
4/3/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.1,74,0,6.9,1,Tidak Hujan,Normal
4/4/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.7,72,18.4,6.7,1,Hujan Sedang,La Niña
4/5/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29,69,0,3.2,1,Tidak Hujan,Normal
4/6/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,30.3,56,0,9.2,1,Tidak Hujan,Normal
4/7/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.7,69,0,5.6,1,Tidak Hujan,Normal
4/8/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.9,74,0,8,1,Tidak Hujan,Normal
4/9/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.7,76,0,7.6,2,Tidak Hujan,Normal
4/10/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.1,70,0,5,2,Tidak Hujan,Normal
4/11/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.9,75,3,2.9,3,Hujan Sedang,Normal
4/12/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.6,66,0,5.2,2,Tidak Hujan,Normal
4/13/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.4,73,0,5.5,1,Tidak Hujan,Normal
4/14/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.3,79,0,3.4,2,Tidak Hujan,Normal
4/15/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.3,81,66.6,5.8,1,Hujan Ekstrem,La Niña
4/16/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.9,80,2,6.8,1,Hujan Sedang,Normal
4/17/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.3,76,12,5.5,1,Hujan Sedang,Normal
4/18/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.1,81,13.2,7.2,1,Hujan Sedang,Normal
4/19/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.7,79,1.2,4.8,1,Hujan Sedang,Normal
4/20/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.9,80,29.5,7.6,0,Hujan Sedang,La Niña
4/21/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.2,81,5.8,3.7,1,Hujan Sedang,Normal
4/22/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.6,76,0,6.4,1,Tidak Hujan,Normal
4/23/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.8,76,0,7,1,Tidak Hujan,Normal
4/24/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.5,79,3.6,7,1,Hujan Sedang,Normal
4/25/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.5,81,9.7,7.5,0,Hujan Sedang,Normal
4/26/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.7,80,0,3.2,1,Tidak Hujan,Normal
4/27/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.6,79,1.3,7.4,1,Hujan Sedang,Normal
4/28/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.4,79,0,5.8,1,Tidak Hujan,Normal
4/29/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.6,83,0,4.7,1,Tidak Hujan,Normal
4/30/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.6,76,0,3,1,Tidak Hujan,Normal
5/1/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.8,80,0,4.8,0,Tidak Hujan,Normal
5/2/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29,84,0,1.4,1,Tidak Hujan,Normal
5/3/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.8,79,0.5,3,1,Hujan Sedang,Normal
5/4/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.4,79,2.5,3.8,1,Hujan Sedang,Normal
5/5/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.2,80,0,6.6,1,Tidak Hujan,Normal
5/6/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.8,82,18.1,3.9,0,Hujan Sedang,La Niña
5/7/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.5,83,0,3.4,1,Tidak Hujan,Normal
5/8/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.7,78,45.5,4.7,1,Hujan Sedang,La Niña
5/9/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,30.4,75,0,3,1,Tidak Hujan,Normal
5/10/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,30.3,76,0,3.6,1,Tidak Hujan,Normal
5/11/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.2,80,0,6.2,1,Tidak Hujan,Normal
5/12/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,30.8,72,0,1.3,1,Tidak Hujan,Normal
5/13/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29,82,0,7,1,Tidak Hujan,Normal
5/14/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.5,69,20,6.5,1,Hujan Sedang,La Niña
5/15/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.7,72,0,6,1,Tidak Hujan,Normal
5/16/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.7,70,0,6.6,0,Tidak Hujan,Normal
5/17/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.6,71,0,7.5,1,Tidak Hujan,Normal
5/18/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.2,73,0,6.2,0,Tidak Hujan,Normal
5/19/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.6,74,0,0,1,Tidak Hujan,Normal
5/20/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.4,76,0,3.3,1,Tidak Hujan,Normal
5/21/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.6,79,0,2.5,1,Tidak Hujan,Normal
5/22/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.1,78,1.8,6,0,Hujan Sedang,Normal
5/23/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.3,75,0,5.3,1,Tidak Hujan,Normal
5/24/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.4,73,0,4.2,1,Tidak Hujan,Normal
5/25/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.4,72,0,2,1,Tidak Hujan,Normal
5/26/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,30.1,72,0,5.2,1,Tidak Hujan,Normal
5/27/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.5,76,0,4.4,1,Tidak Hujan,Normal
5/28/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.7,80,17.8,2.5,1,Hujan Sedang,La Niña
5/29/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.9,75,0,2.5,1,Tidak Hujan,Normal
5/30/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.6,75,0,3.7,1,Tidak Hujan,Normal
5/31/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.8,73,0,4,0,Tidak Hujan,Normal
6/1/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.3,74,0,5,1,Tidak Hujan,Normal
6/2/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.9,73,0,6.5,1,Tidak Hujan,Normal
6/3/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,30.2,72,0,5.7,1,Tidak Hujan,Normal
6/4/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.5,75,0,6.2,1,Tidak Hujan,Normal
6/5/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.6,74,0,4,1,Tidak Hujan,Normal
6/6/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.8,82,0.3,4.4,0,Hujan Sedang,Normal
6/7/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.8,72,1.7,0,1,Hujan Sedang,Normal
6/8/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.9,75,0,4,1,Tidak Hujan,Normal
6/9/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.2,73,0,3.5,1,Tidak Hujan,Normal
6/10/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.5,75,0,5.2,1,Tidak Hujan,Normal
6/11/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.1,73,0,4,1,Tidak Hujan,Normal
6/12/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,30.1,72,0,5.6,1,Tidak Hujan,Normal
6/13/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,30.1,74,0,3.4,1,Tidak Hujan,Normal
6/14/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.7,75,0,2.5,0,Tidak Hujan,Normal
6/15/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.5,74,0,2.4,1,Tidak Hujan,Normal
6/16/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.2,94,0,2,0,Tidak Hujan,Normal
6/17/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.9,81,29.3,0,1,Hujan Sedang,La Niña
6/18/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.7,80,0,1.5,1,Tidak Hujan,Normal
6/19/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.4,88,0,2.3,1,Tidak Hujan,Normal
6/20/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.6,78,26.9,0.2,1,Hujan Sedang,La Niña
6/21/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.5,77,0,3.3,1,Tidak Hujan,Normal
6/22/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.2,78,2.5,3.9,1,Hujan Sedang,Normal
6/23/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.4,77,1,3.7,2,Hujan Sedang,Normal
6/24/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.6,79,0,3.6,1,Tidak Hujan,Normal
6/25/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.7,81,31.4,4.2,1,Hujan Sedang,La Niña
6/26/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.5,75,3.5,2.6,1,Hujan Sedang,Normal
6/27/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.8,76,0,3.7,1,Tidak Hujan,Normal
6/28/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.1,68,0,4,1,Tidak Hujan,Normal
6/29/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.7,77,30.6,4.2,1,Hujan Sedang,La Niña
6/30/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.1,76,0,3.5,2,Tidak Hujan,Normal
7/1/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.2,78,0,4.8,1,Tidak Hujan,Normal
7/2/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.3,75,0,2.7,1,Tidak Hujan,Normal
7/3/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.1,74,0,6.1,1,Tidak Hujan,Normal
7/4/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.7,74,0,3.5,0,Tidak Hujan,Normal
7/5/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.3,73,0,5.5,1,Tidak Hujan,Normal
7/6/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.8,82,1.6,6,0,Hujan Sedang,Normal
7/7/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.2,78,2.5,1.5,0,Hujan Sedang,Normal
7/8/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.1,80,1.2,1.2,1,Hujan Sedang,Normal
7/9/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.5,76,0,2.4,2,Tidak Hujan,Normal
7/10/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.3,73,0,4.5,1,Tidak Hujan,Normal
7/11/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.1,72,0,3.4,1,Tidak Hujan,Normal
7/12/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.1,76,0,6.6,1,Tidak Hujan,Normal
7/13/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.9,72,0,6.3,1,Tidak Hujan,Normal
7/14/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29,72,0,4.5,1,Tidak Hujan,Normal
7/15/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.9,73,0,4,2,Tidak Hujan,Normal
7/16/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.9,74,0,5,1,Tidak Hujan,Normal
7/17/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.3,68,0,5.6,1,Tidak Hujan,Normal
7/18/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.8,67,0,5,1,Tidak Hujan,Normal
7/19/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.5,59,0,6.6,1,Tidak Hujan,Normal
7/20/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.9,61,0,6.8,1,Tidak Hujan,Normal
7/21/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.8,67,0,6.6,1,Tidak Hujan,Normal
7/22/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.1,70,0,4,1,Tidak Hujan,Normal
7/23/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29,68,0,6,1,Tidak Hujan,Normal
7/24/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.8,76,0,6.8,1,Tidak Hujan,Normal
7/25/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28,78,0,2.7,0,Tidak Hujan,Normal
7/26/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28,74,0,3.3,1,Tidak Hujan,Normal
7/27/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29,72,0,1.5,1,Tidak Hujan,Normal
